staff_id,staff_name,role,week_start,appointments_handled,sla_met_rate,escalations,followups_due,followups_completed,followup_rate,avg_handle_time_min,month,month_name,year,sla_met_pct,followup_pct
S002,Staff_02,Patient Coordinator,2023-06-19,79,0.7939,3,21,13,0.619,17.5,6,Jun,2023,79.4,61.9
S002,Staff_02,Patient Coordinator,2023-06-26,99,0.7951,0,10,8,0.8,17.1,6,Jun,2023,79.5,80.0
S002,Staff_02,Patient Coordinator,2023-07-03,44,0.8177,0,16,10,0.625,19.3,7,Jul,2023,81.8,62.5
S002,Staff_02,Patient Coordinator,2023-07-10,55,0.9842,0,14,11,0.7857,14.1,7,Jul,2023,98.4,78.6
S002,Staff_02,Patient Coordinator,2023-07-17,47,0.9586,3,24,16,0.6667,16.8,7,Jul,2023,95.9,66.7
S002,Staff_02,Patient Coordinator,2023-07-24,112,0.9134,2,9,6,0.6667,10.1,7,Jul,2023,91.3,66.7
S002,Staff_02,Patient Coordinator,2023-07-31,88,0.9273,4,24,21,0.875,15.6,7,Jul,2023,92.7,87.5
S002,Staff_02,Patient Coordinator,2023-08-07,61,0.9371,0,6,3,0.5,16.4,8,Aug,2023,93.7,50.0
S002,Staff_02,Patient Coordinator,2023-08-14,106,0.8705,2,7,5,0.7143,19.6,8,Aug,2023,87.1,71.4
S002,Staff_02,Patient Coordinator,2023-08-21,89,0.8995,4,6,4,0.6667,12.2,8,Aug,2023,90.0,66.7
S002,Staff_02,Patient Coordinator,2023-08-28,104,0.9027,3,22,14,0.6364,9.6,8,Aug,2023,90.3,63.6
S002,Staff_02,Patient Coordinator,2023-09-04,63,0.9242,2,11,7,0.6364,8.9,9,Sep,2023,92.4,63.6
S002,Staff_02,Patient Coordinator,2023-09-11,59,0.9029,5,16,11,0.6875,10.6,9,Sep,2023,90.3,68.8
S002,Staff_02,Patient Coordinator,2023-09-18,110,0.9566,5,9,7,0.7778,19.2,9,Sep,2023,95.7,77.8
S002,Staff_02,Patient Coordinator,2023-09-25,101,0.9388,1,10,9,0.9,19.6,9,Sep,2023,93.9,90.0
S002,Staff_02,Patient Coordinator,2023-10-02,69,0.7804,3,8,6,0.75,18.4,10,Oct,2023,78.0,75.0
S002,Staff_02,Patient Coordinator,2023-10-09,48,0.8875,4,18,16,0.8889,12.4,10,Oct,2023,88.8,88.9
S002,Staff_02,Patient Coordinator,2023-10-16,99,0.916,1,11,9,0.8182,10.8,10,Oct,2023,91.6,81.8
S002,Staff_02,Patient Coordinator,2023-10-23,105,0.8496,0,6,5,0.8333,19.4,10,Oct,2023,85.0,83.3
S002,Staff_02,Patient Coordinator,2023-10-30,120,0.9073,3,18,13,0.7222,11.9,10,Oct,2023,90.7,72.2
S002,Staff_02,Patient Coordinator,2023-11-06,112,0.8917,1,12,9,0.75,19.3,11,Nov,2023,89.2,75.0
S002,Staff_02,Patient Coordinator,2023-11-13,61,0.9359,3,12,10,0.8333,8.6,11,Nov,2023,93.6,83.3
S002,Staff_02,Patient Coordinator,2023-11-20,54,0.7825,1,11,7,0.6364,14.3,11,Nov,2023,78.2,63.6
S002,Staff_02,Patient Coordinator,2023-11-27,77,0.9288,0,21,16,0.7619,15.2,11,Nov,2023,92.9,76.2
S002,Staff_02,Patient Coordinator,2023-12-04,110,0.9125,3,6,5,0.8333,13.8,12,Dec,2023,91.2,83.3
S002,Staff_02,Patient Coordinator,2023-12-11,77,0.8273,0,12,7,0.5833,18.1,12,Dec,2023,82.7,58.3
S002,Staff_02,Patient Coordinator,2023-12-18,40,0.8932,4,10,9,0.9,17.5,12,Dec,2023,89.3,90.0
S002,Staff_02,Patient Coordinator,2023-12-25,103,0.815,3,9,8,0.8889,12.8,12,Dec,2023,81.5,88.9
S002,Staff_02,Patient Coordinator,2024-01-01,55,0.9435,2,24,15,0.625,12.3,1,Jan,2024,94.4,62.5
S002,Staff_02,Patient Coordinator,2024-01-08,97,0.9007,0,13,8,0.6154,17.1,1,Jan,2024,90.1,61.5
S002,Staff_02,Patient Coordinator,2024-01-15,59,0.8729,1,23,15,0.6522,17.9,1,Jan,2024,87.3,65.2
S002,Staff_02,Patient Coordinator,2024-01-22,112,0.8517,1,16,13,0.8125,11.4,1,Jan,2024,85.2,81.2
S002,Staff_02,Patient Coordinator,2024-01-29,110,0.8952,3,6,5,0.8333,16.9,1,Jan,2024,89.5,83.3
S002,Staff_02,Patient Coordinator,2024-02-05,112,0.8367,5,9,7,0.7778,13.3,2,Feb,2024,83.7,77.8
S002,Staff_02,Patient Coordinator,2024-02-12,59,0.854,2,9,8,0.8889,11.7,2,Feb,2024,85.4,88.9
S002,Staff_02,Patient Coordinator,2024-02-19,95,0.8217,1,11,7,0.6364,17.6,2,Feb,2024,82.2,63.6
S002,Staff_02,Patient Coordinator,2024-02-26,93,0.8627,2,22,15,0.6818,13.6,2,Feb,2024,86.3,68.2
S002,Staff_02,Patient Coordinator,2024-03-04,89,0.9728,1,6,5,0.8333,9.1,3,Mar,2024,97.3,83.3
S002,Staff_02,Patient Coordinator,2024-03-11,114,0.8006,1,20,12,0.6,9.5,3,Mar,2024,80.1,60.0
S002,Staff_02,Patient Coordinator,2024-03-18,59,0.8992,4,9,7,0.7778,9.1,3,Mar,2024,89.9,77.8
S002,Staff_02,Patient Coordinator,2024-03-25,79,0.8997,2,22,18,0.8182,13.5,3,Mar,2024,90.0,81.8
S002,Staff_02,Patient Coordinator,2024-04-01,102,0.9867,0,7,4,0.5714,18.9,4,Apr,2024,98.7,57.1
S002,Staff_02,Patient Coordinator,2024-04-08,65,0.7976,1,9,7,0.7778,19.1,4,Apr,2024,79.8,77.8
S002,Staff_02,Patient Coordinator,2024-04-15,76,0.8129,3,10,8,0.8,9.3,4,Apr,2024,81.3,80.0
S002,Staff_02,Patient Coordinator,2024-04-22,42,0.9523,3,10,8,0.8,13.1,4,Apr,2024,95.2,80.0
S002,Staff_02,Patient Coordinator,2024-04-29,48,0.8585,2,13,10,0.7692,11.7,4,Apr,2024,85.9,76.9
S002,Staff_02,Patient Coordinator,2024-05-06,103,0.9276,1,7,6,0.8571,12.6,5,May,2024,92.8,85.7
S002,Staff_02,Patient Coordinator,2024-05-13,88,0.9033,5,5,4,0.8,13.8,5,May,2024,90.3,80.0
S002,Staff_02,Patient Coordinator,2024-05-20,97,0.8234,2,23,14,0.6087,8.5,5,May,2024,82.3,60.9
S002,Staff_02,Patient Coordinator,2024-05-27,86,0.8991,0,7,4,0.5714,19.9,5,May,2024,89.9,57.1
S002,Staff_02,Patient Coordinator,2024-06-03,59,0.8106,2,25,21,0.84,8.3,6,Jun,2024,81.1,84.0
S002,Staff_02,Patient Coordinator,2024-06-10,73,0.904,2,5,3,0.6,8.2,6,Jun,2024,90.4,60.0
S002,Staff_02,Patient Coordinator,2024-06-17,70,0.7863,0,18,16,0.8889,19.7,6,Jun,2024,78.6,88.9
S002,Staff_02,Patient Coordinator,2024-06-24,50,0.9224,2,19,13,0.6842,10.5,6,Jun,2024,92.2,68.4
S002,Staff_02,Patient Coordinator,2024-07-01,108,0.852,0,5,3,0.6,12.4,7,Jul,2024,85.2,60.0
S002,Staff_02,Patient Coordinator,2024-07-08,44,0.9437,4,25,16,0.64,16.0,7,Jul,2024,94.4,64.0
S002,Staff_02,Patient Coordinator,2024-07-15,110,0.9375,4,18,13,0.7222,12.2,7,Jul,2024,93.8,72.2
S002,Staff_02,Patient Coordinator,2024-07-22,71,0.9889,5,20,17,0.85,16.3,7,Jul,2024,98.9,85.0
S002,Staff_02,Patient Coordinator,2024-07-29,91,0.9832,2,10,7,0.7,16.5,7,Jul,2024,98.3,70.0
S002,Staff_02,Patient Coordinator,2024-08-05,65,0.8165,3,6,3,0.5,12.3,8,Aug,2024,81.6,50.0
S002,Staff_02,Patient Coordinator,2024-08-12,44,0.8379,5,15,13,0.8667,8.5,8,Aug,2024,83.8,86.7
S002,Staff_02,Patient Coordinator,2024-08-19,64,0.9855,1,7,4,0.5714,10.4,8,Aug,2024,98.6,57.1
S002,Staff_02,Patient Coordinator,2024-08-26,45,0.9736,0,14,11,0.7857,13.7,8,Aug,2024,97.4,78.6
S002,Staff_02,Patient Coordinator,2024-09-02,45,0.8062,2,16,12,0.75,8.2,9,Sep,2024,80.6,75.0
S002,Staff_02,Patient Coordinator,2024-09-09,83,0.9156,4,16,13,0.8125,12.9,9,Sep,2024,91.6,81.2
S002,Staff_02,Patient Coordinator,2024-09-16,119,0.9731,1,6,5,0.8333,16.4,9,Sep,2024,97.3,83.3
S002,Staff_02,Patient Coordinator,2024-09-23,77,0.8315,3,14,9,0.6429,12.0,9,Sep,2024,83.2,64.3
S002,Staff_02,Patient Coordinator,2024-09-30,94,0.9316,0,9,6,0.6667,15.6,9,Sep,2024,93.2,66.7
S002,Staff_02,Patient Coordinator,2024-10-07,76,0.9581,4,6,3,0.5,15.8,10,Oct,2024,95.8,50.0
S002,Staff_02,Patient Coordinator,2024-10-14,110,0.9151,5,13,10,0.7692,19.8,10,Oct,2024,91.5,76.9
S002,Staff_02,Patient Coordinator,2024-10-21,92,0.8888,0,10,8,0.8,12.9,10,Oct,2024,88.9,80.0
S002,Staff_02,Patient Coordinator,2024-10-28,100,0.7953,0,24,18,0.75,18.0,10,Oct,2024,79.5,75.0
S002,Staff_02,Patient Coordinator,2024-11-04,109,0.8455,3,16,10,0.625,8.4,11,Nov,2024,84.6,62.5
S002,Staff_02,Patient Coordinator,2024-11-11,59,0.8141,2,22,15,0.6818,15.2,11,Nov,2024,81.4,68.2
S002,Staff_02,Patient Coordinator,2024-11-18,79,0.9869,0,9,6,0.6667,17.5,11,Nov,2024,98.7,66.7
S002,Staff_02,Patient Coordinator,2024-11-25,54,0.9357,0,19,18,0.9474,11.8,11,Nov,2024,93.6,94.7
S002,Staff_02,Patient Coordinator,2024-12-02,74,0.8885,3,14,13,0.9286,11.5,12,Dec,2024,88.8,92.9
S002,Staff_02,Patient Coordinator,2024-12-09,96,0.845,5,8,4,0.5,17.4,12,Dec,2024,84.5,50.0
S002,Staff_02,Patient Coordinator,2024-12-16,62,0.9272,5,6,4,0.6667,18.1,12,Dec,2024,92.7,66.7
S002,Staff_02,Patient Coordinator,2024-12-23,90,0.8197,1,17,15,0.8824,18.2,12,Dec,2024,82.0,88.2
S002,Staff_02,Patient Coordinator,2024-12-30,88,0.8644,5,20,15,0.75,13.8,12,Dec,2024,86.4,75.0
S003,Staff_03,Receptionist,2023-06-05,51,0.848,4,8,6,0.75,17.6,6,Jun,2023,84.8,75.0
S003,Staff_03,Receptionist,2023-06-12,113,0.9196,3,23,20,0.8696,11.0,6,Jun,2023,92.0,87.0
S003,Staff_03,Receptionist,2023-06-19,74,0.8893,4,9,6,0.6667,12.6,6,Jun,2023,88.9,66.7
S003,Staff_03,Receptionist,2023-06-26,54,0.9649,1,14,13,0.9286,15.8,6,Jun,2023,96.5,92.9
S003,Staff_03,Receptionist,2023-07-03,64,0.7802,2,8,4,0.5,9.8,7,Jul,2023,78.0,50.0
S003,Staff_03,Receptionist,2023-07-10,76,0.8741,4,17,10,0.5882,12.0,7,Jul,2023,87.4,58.8
S003,Staff_03,Receptionist,2023-07-17,117,0.9421,2,22,15,0.6818,18.5,7,Jul,2023,94.2,68.2
S003,Staff_03,Receptionist,2023-07-24,89,0.7939,3,19,14,0.7368,14.3,7,Jul,2023,79.4,73.7
S003,Staff_03,Receptionist,2023-07-31,76,0.904,1,10,8,0.8,9.1,7,Jul,2023,90.4,80.0
S003,Staff_03,Receptionist,2023-08-07,68,0.85,3,9,5,0.5556,16.9,8,Aug,2023,85.0,55.6
S003,Staff_03,Receptionist,2023-08-14,114,0.9491,0,9,8,0.8889,18.9,8,Aug,2023,94.9,88.9
S003,Staff_03,Receptionist,2023-08-21,47,0.9049,2,12,8,0.6667,18.1,8,Aug,2023,90.5,66.7
S003,Staff_03,Receptionist,2023-08-28,61,0.9609,5,5,3,0.6,19.4,8,Aug,2023,96.1,60.0
S003,Staff_03,Receptionist,2023-09-04,89,0.9176,5,16,11,0.6875,8.0,9,Sep,2023,91.8,68.8
S003,Staff_03,Receptionist,2023-09-11,92,0.7855,0,20,12,0.6,11.4,9,Sep,2023,78.6,60.0
S003,Staff_03,Receptionist,2023-09-18,94,0.9379,1,20,17,0.85,8.0,9,Sep,2023,93.8,85.0
S003,Staff_03,Receptionist,2023-09-25,79,0.8595,0,16,11,0.6875,17.3,9,Sep,2023,86.0,68.8
S003,Staff_03,Receptionist,2023-10-02,105,0.7829,0,10,7,0.7,19.6,10,Oct,2023,78.3,70.0
S003,Staff_03,Receptionist,2023-10-09,109,0.9557,0,17,10,0.5882,11.9,10,Oct,2023,95.6,58.8
S003,Staff_03,Receptionist,2023-10-16,40,0.8223,1,25,15,0.6,10.0,10,Oct,2023,82.2,60.0
S003,Staff_03,Receptionist,2023-10-23,50,0.9707,3,24,16,0.6667,16.0,10,Oct,2023,97.1,66.7
S003,Staff_03,Receptionist,2023-10-30,81,0.8101,5,5,3,0.6,18.6,10,Oct,2023,81.0,60.0
S003,Staff_03,Receptionist,2023-11-06,41,0.7805,5,21,17,0.8095,16.9,11,Nov,2023,78.0,81.0
S003,Staff_03,Receptionist,2023-11-13,101,0.9239,1,14,10,0.7143,18.6,11,Nov,2023,92.4,71.4
S003,Staff_03,Receptionist,2023-11-20,90,0.8821,0,14,12,0.8571,19.2,11,Nov,2023,88.2,85.7
S003,Staff_03,Receptionist,2023-11-27,110,0.9449,3,7,4,0.5714,14.7,11,Nov,2023,94.5,57.1
S003,Staff_03,Receptionist,2023-12-04,73,0.9172,3,23,22,0.9565,12.8,12,Dec,2023,91.7,95.6
S003,Staff_03,Receptionist,2023-12-11,107,0.8992,3,19,12,0.6316,8.0,12,Dec,2023,89.9,63.2
S003,Staff_03,Receptionist,2023-12-18,72,0.9268,3,24,17,0.7083,12.3,12,Dec,2023,92.7,70.8
S003,Staff_03,Receptionist,2023-12-25,63,0.8306,4,14,10,0.7143,8.6,12,Dec,2023,83.1,71.4
S003,Staff_03,Receptionist,2024-01-01,61,0.796,5,9,7,0.7778,16.8,1,Jan,2024,79.6,77.8
S003,Staff_03,Receptionist,2024-01-08,50,0.9624,4,25,20,0.8,16.5,1,Jan,2024,96.2,80.0
S003,Staff_03,Receptionist,2024-01-15,53,0.8142,4,6,3,0.5,8.2,1,Jan,2024,81.4,50.0
S003,Staff_03,Receptionist,2024-01-22,98,0.8166,4,12,10,0.8333,17.3,1,Jan,2024,81.7,83.3
S003,Staff_03,Receptionist,2024-01-29,94,0.7843,1,8,7,0.875,9.4,1,Jan,2024,78.4,87.5
S003,Staff_03,Receptionist,2024-02-05,120,0.9833,1,5,3,0.6,18.0,2,Feb,2024,98.3,60.0
S003,Staff_03,Receptionist,2024-02-12,105,0.8982,1,15,14,0.9333,17.1,2,Feb,2024,89.8,93.3
S003,Staff_03,Receptionist,2024-02-19,111,0.9019,0,13,12,0.9231,13.2,2,Feb,2024,90.2,92.3
S003,Staff_03,Receptionist,2024-02-26,102,0.7975,3,21,17,0.8095,17.0,2,Feb,2024,79.8,81.0
S003,Staff_03,Receptionist,2024-03-04,116,0.8489,5,20,13,0.65,12.7,3,Mar,2024,84.9,65.0
S003,Staff_03,Receptionist,2024-03-11,87,0.9578,2,19,16,0.8421,13.4,3,Mar,2024,95.8,84.2
S003,Staff_03,Receptionist,2024-03-18,74,0.8255,4,14,8,0.5714,19.6,3,Mar,2024,82.6,57.1
S003,Staff_03,Receptionist,2024-03-25,43,0.8505,5,13,11,0.8462,15.2,3,Mar,2024,85.0,84.6
S003,Staff_03,Receptionist,2024-04-01,44,0.8009,1,13,12,0.9231,16.7,4,Apr,2024,80.1,92.3
S003,Staff_03,Receptionist,2024-04-08,66,0.9181,1,25,21,0.84,12.7,4,Apr,2024,91.8,84.0
S003,Staff_03,Receptionist,2024-04-15,83,0.8445,1,22,21,0.9545,9.9,4,Apr,2024,84.4,95.4
S003,Staff_03,Receptionist,2024-04-22,120,0.8778,2,17,13,0.7647,17.6,4,Apr,2024,87.8,76.5
S003,Staff_03,Receptionist,2024-04-29,114,0.9566,4,20,12,0.6,13.6,4,Apr,2024,95.7,60.0
S003,Staff_03,Receptionist,2024-05-06,78,0.8095,3,12,9,0.75,14.5,5,May,2024,81.0,75.0
S003,Staff_03,Receptionist,2024-05-13,64,0.8921,3,10,7,0.7,10.5,5,May,2024,89.2,70.0
S003,Staff_03,Receptionist,2024-05-20,75,0.8362,5,9,6,0.6667,10.8,5,May,2024,83.6,66.7
S003,Staff_03,Receptionist,2024-05-27,102,0.8232,5,11,8,0.7273,19.3,5,May,2024,82.3,72.7
S003,Staff_03,Receptionist,2024-06-03,64,0.79,5,7,5,0.7143,9.0,6,Jun,2024,79.0,71.4
S003,Staff_03,Receptionist,2024-06-10,76,0.871,0,7,6,0.8571,11.5,6,Jun,2024,87.1,85.7
S003,Staff_03,Receptionist,2024-06-17,54,0.7815,2,6,3,0.5,11.6,6,Jun,2024,78.1,50.0
S003,Staff_03,Receptionist,2024-06-24,117,0.9254,1,10,7,0.7,10.7,6,Jun,2024,92.5,70.0
S003,Staff_03,Receptionist,2024-07-01,112,0.8761,1,12,10,0.8333,9.2,7,Jul,2024,87.6,83.3
S003,Staff_03,Receptionist,2024-07-08,114,0.9227,5,24,16,0.6667,18.4,7,Jul,2024,92.3,66.7
S003,Staff_03,Receptionist,2024-07-15,50,0.9802,2,16,15,0.9375,14.4,7,Jul,2024,98.0,93.8
S003,Staff_03,Receptionist,2024-07-22,107,0.7875,3,6,5,0.8333,9.0,7,Jul,2024,78.8,83.3
